post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
145809609.good-design,2024-06-20T13:10:04.448Z,true,2024-06-20T13:10:05.244Z,2024-06-20T13:10:05.244Z,newsletter,only_paid,"""Good"" Design",,
145773779.the-trough-of-despair,2024-06-19T13:03:01.014Z,true,2024-06-19T13:03:01.790Z,2024-06-19T13:03:01.790Z,newsletter,everyone,The Trough of Despair,The price of improving structure,
145759979.thinkie-more-general-solution,2024-06-18T14:28:30.252Z,true,2024-06-18T14:28:31.025Z,2024-06-18T14:28:31.025Z,newsletter,only_paid,Thinkie: More General Solution,,
145670168.tt-chapter-fields-object,2024-06-16T13:26:58.685Z,true,2024-06-16T13:26:59.303Z,2024-06-16T13:26:59.303Z,newsletter,only_paid,TT? Chapter: Fields Object,,
145574087.the-documentation-tradeoff,2024-06-12T16:46:34.031Z,true,2024-06-12T16:46:34.644Z,2024-06-12T16:46:34.644Z,newsletter,everyone,The Documentation Tradeoff,"A little, sure, but be careful about more",
145542785.exploreexploit,2024-06-11T16:47:00.682Z,true,2024-06-11T16:47:01.526Z,2024-06-11T16:47:01.526Z,newsletter,only_paid,Explore/Exploit,,
145516935.minimum-viable-product-revisited,2024-06-21T13:30:59.274Z,true,2024-06-21T13:30:59.972Z,2024-06-21T13:30:59.972Z,newsletter,everyone,Minimum Viable Product revisited,The last ThreeRiversInstitute.org post,
145413993.start-presentations-on-the-second,2024-06-14T12:40:09.889Z,true,2024-06-14T12:40:11.509Z,2024-06-14T12:40:11.509Z,newsletter,everyone,Start Presentations on the Second Slide,"Aka ""in media res""",
145412638.new-tidying-reconcile-parameter-order,2024-06-10T13:31:03.585Z,true,2024-06-10T13:31:04.278Z,2024-06-10T13:31:04.278Z,newsletter,everyone,New Tidying: Reconcile Parameter Order,,
145352622.tt-chapter-parameters-object,2024-06-07T13:03:25.427Z,true,2024-06-07T13:03:26.026Z,2024-06-07T13:03:27.309Z,newsletter,only_paid,TT? Chapter: Parameters Object,,
145346716.present-factory-chapter-the-incentive,2024-06-06T13:19:04.510Z,true,2024-06-06T13:19:04.840Z,2024-06-06T13:19:04.840Z,newsletter,only_paid,Present Factory Chapter: The Incentive Paradox in Software Design,,
145309621.tt-section-intro-for-refactorings,2024-06-05T13:54:39.187Z,true,2024-06-05T13:54:39.885Z,2024-06-05T13:54:39.885Z,newsletter,only_paid,TT? Section Intro for Refactorings,,
